DATE;NB_COUVERTS
01/09/2023;80
02/09/2023;
03/09/2023;
04/09/2023;147
05/09/2023;160
06/09/2023;155
07/09/2023;163
08/09/2023;125
09/09/2023;
10/09/2023;
11/09/2023;148
12/09/2023;184
13/09/2023;169
14/09/2023;188
15/09/2023;113
16/09/2023;
17/09/2023;
18/09/2023;185
19/09/2023;217
20/09/2023;180
21/09/2023;162
22/09/2023;91
23/09/2023;
24/09/2023;
25/09/2023;152
26/09/2023;194
27/09/2023;180
28/09/2023;180
29/09/2023;155
30/09/2023;
01/10/2023;
02/10/2023;179
03/10/2023;
04/10/2023;169
05/10/2023;174
06/10/2023;135
07/10/2023;
08/10/2023;
09/10/2023;177
10/10/2023;199
11/10/2023;183
12/10/2023;201
13/10/2023;127
14/10/2023;
15/10/2023;
16/10/2023;173
17/10/2023;226
18/10/2023;194
19/10/2023;207
20/10/2023;151
21/10/2023;
22/10/2023;
23/10/2023;142
24/10/2023;168
25/10/2023;145
26/10/2023;132
27/10/2023;103
28/10/2023;
29/10/2023;
30/10/2023;120
31/10/2023;115
01/11/2023;
02/11/2023;99
03/11/2023;77
04/11/2023;
05/11/2023;
06/11/2023;170
07/11/2023;206
08/11/2023;144
09/11/2023;214
10/11/2023;149
11/11/2023;
12/11/2023;
13/11/2023;163
14/11/2023;192
15/11/2023;180
16/11/2023;170
17/11/2023;143
18/11/2023;
19/11/2023;
20/11/2023;182
21/11/2023;196
22/11/2023;162
23/11/2023;197
24/11/2023;131
25/11/2023;
26/11/2023;
27/11/2023;173
28/11/2023;186
29/11/2023;178
30/11/2023;148
01/12/2023;109
02/12/2023;
03/12/2023;
04/12/2023;171
05/12/2023;175
06/12/2023;163
07/12/2023;196
08/12/2023;149
09/12/2023;
10/12/2023;
11/12/2023;135
12/12/2023;165
13/12/2023;150
14/12/2023;157
15/12/2023;125
16/12/2023;
17/12/2023;
18/12/2023;139
19/12/2023;136
20/12/2023;123
21/12/2023;71
22/12/2023;77
23/12/2023;
24/12/2023;
25/12/2023;
26/12/2023;79
27/12/2023;88
28/12/2023;104
29/12/2023;79
30/12/2023;
31/12/2023;
01/01/2024;
02/01/2024;136
03/01/2024;115
04/01/2024;144
05/01/2024;98
06/01/2024;
07/01/2024;
08/01/2024;195
09/01/2024;185
10/01/2024;182
11/01/2024;201
12/01/2024;174
13/01/2024;
14/01/2024;
15/01/2024;194
16/01/2024;218
17/01/2024;55
18/01/2024;79
19/01/2024;132
20/01/2024;
21/01/2024;
22/01/2024;191
23/01/2024;222
24/01/2024;170
25/01/2024;212
26/01/2024;162
27/01/2024;
28/01/2024;
29/01/2024;185
30/01/2024;202
31/01/2024;193
01/02/2024;223
02/02/2024;151
03/02/2024;
04/02/2024;
05/02/2024;189
06/02/2024;180
